[Rendering-Trace]: loader_add_layer_properties: 'layers' tag not supported until file version 1.0.1, but C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_cc569e59ca39c5fe\nv-vk64.json is reporting version 1
[Rendering-Trace]: created texture: white { 35, 0 }
[Rendering-Trace]: created texture: 15722799267630235092 { 36, 0 }
[Rendering-Trace]: created texture: 3628158980083700836 { 37, 0 }
[Rendering-Trace]: created texture: 4975155472559461469 { 38, 0 }
[Rendering-Trace]: created texture: 8783994986360286082 { 39, 0 }
[Rendering-Trace]: created texture: 7645212358685992005 { 40, 0 }
[Rendering-Trace]: created texture: 11490520546946913238 { 41, 0 }
[Rendering-Trace]: created texture: 6593109234861095314 { 42, 0 }
[Rendering-Trace]: created texture: 466164707995436622 { 43, 0 }
[Rendering-Trace]: created texture: 7056944414013900257 { 44, 0 }
[Rendering-Trace]: created texture: 332936164838540657 { 45, 0 }
[Rendering-Trace]: created texture: 4675343432951571524 { 46, 0 }
[Rendering-Trace]: created texture: 759203620573749278 { 47, 0 }
[Rendering-Trace]: created texture: 13196865903111448057 { 49, 0 }
[Rendering-Trace]: created texture: 17876391417123941155 { 48, 0 }
[Rendering-Trace]: created texture: 4910669866631290573 { 50, 0 }
[Rendering-Trace]: created texture: 17556969131407844942 { 51, 0 }
[Rendering-Trace]: created texture: 11872827283454512094 { 52, 0 }
[Rendering-Trace]: created texture: corset_basecolor { 53, 0 }
[Rendering-Trace]: created texture: 6772804448157695701 { 54, 0 }
[Rendering-Trace]: created texture: corset_occlusionroughnessmetallic { 56, 0 }
[Rendering-Trace]: created texture: corset_normal { 55, 0 }
[Rendering-Trace]: created texture: 9288698199695299068 { 57, 0 }
[Rendering-Trace]: created texture: 8006627369776289000 { 58, 0 }
[Rendering-Trace]: created texture: 8773302468495022225 { 59, 0 }
[Rendering-Trace]: created texture: 11968150294050148237 { 60, 0 }
[Rendering-Trace]: created texture: 8747919177698443163 { 61, 0 }
[Rendering-Trace]: created texture: 14170708867020035030 { 62, 0 }
[Rendering-Trace]: created texture: 16275776544635328252 { 63, 0 }
[Rendering-Trace]: created texture: 755318871556304029 { 64, 0 }
[Rendering-Trace]: created texture: 5823059166183034438 { 65, 0 }
[Rendering-Trace]: created texture: 5061699253647017043 { 66, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_lensesmat_normal { 67, 0 }
[Rendering-Trace]: created texture: 6151467286084645207 { 68, 0 }
[Rendering-Trace]: created texture: 2185409758123873465 { 69, 0 }
[Rendering-Trace]: created texture: 10381718147657362067 { 70, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_rubberwoodmat_basecolor { 72, 0 }
[Rendering-Trace]: created texture: env_map { 71, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_metalpartsmat_basecolor { 73, 0 }
[Rendering-Trace]: created texture: hdr { 74, 0 }
[Rendering-Trace]: created texture: irradiance { 75, 0 }
[Rendering-Trace]: created texture: prefilter { 76, 0 }
[Rendering-Trace]: created texture: brdf_lut { 77, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_metalpartsmat_normal { 78, 0 }
[Rendering-Trace]: created texture: 3827035219084910048 { 79, 0 }
[Rendering-Trace]: created texture: 8114461559286000061 { 80, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_lensesmat_occlusionroughmetal { 81, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_leatherpartsmat_occlusionroughmetal { 82, 0 }
[Rendering-Trace]: created texture: 2299742237651021498 { 83, 0 }
[Rendering-Trace]: created texture: 11474523244911310074 { 84, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_leatherpartsmat_normal { 85, 0 }
[Rendering-Trace]: created texture: 2969916736137545357 { 86, 0 }
[Rendering-Trace]: created texture: 2051777328469649772 { 87, 0 }
[Rendering-Trace]: created texture: 14650633544276105767 { 88, 0 }
[Rendering-Trace]: created texture: 3371964815757888145 { 90, 0 }
[Rendering-Trace]: created texture: 4871783166746854860 { 89, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_metalpartsmat_occlusionroughmetal { 91, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_rubberwoodmat_occlusionroughmetal { 92, 0 }
[Rendering-Trace]: created texture: 2775690330959970771 { 93, 0 }
[Rendering-Trace]: created texture: 2374361008830720677 { 94, 0 }
[Rendering-Trace]: created texture: 12501374198249454378 { 95, 0 }
[Rendering-Trace]: created texture: 1219024358953944284 { 97, 0 }
[Rendering-Trace]: created texture: 3455394979645218238 { 96, 0 }
[Rendering-Trace]: created texture: 4601176305987539675 { 98, 0 }
[Rendering-Trace]: created texture: 7815564343179553343 { 99, 0 }
[Rendering-Trace]: created texture: 8481240838833932244 { 100, 0 }
[Rendering-Trace]: created texture: 14118779221266351425 { 101, 0 }
[Rendering-Trace]: created texture: 715093869573992647 { 102, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_glassplasticmat_basecolor { 103, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_lensesmat_basecolor { 104, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_glassplasticmat_normal { 105, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_glassplasticmat_occlusionroughmetal { 106, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_leatherpartsmat_basecolor { 107, 0 }
[Rendering-Trace]: created texture: flighthelmet_materials_rubberwoodmat_normal { 108, 0 }
[Rendering-Trace]: created texture: 2411100444841994089 { 109, 0 }
